catchment_id,gate_id,created,last_modified,version
1,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
3,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
4,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
5,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
10,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
11,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
13,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
20,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
24,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
25,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
26,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
27,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
29,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
30,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
31,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
32,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
34,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
37,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
38,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
39,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
40,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
42,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
43,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
47,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
48,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
49,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
50,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
51,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
53,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
54,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
56,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
64,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
65,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
68,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
70,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
76,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
78,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
80,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
81,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
82,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
86,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
88,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
89,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
90,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
92,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
94,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
98,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
99,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
102,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
107,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
108,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
114,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
115,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
116,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
117,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
118,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
119,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
120,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
121,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
122,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
123,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
127,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
130,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
131,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
141,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
144,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
146,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
148,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
151,2,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
153,1,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
