id,name,created,last_modified,version
1,Anglian,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
2,Midlands,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
3,North East,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
4,North West,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
5,South East (Southern),2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
6,South West,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
7,Thames,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
8,Wales,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
9,Unknown,2018-11-07 10:00:00,2018-11-07 10:00:00,2018-11-07 10:00:00
